task	action	destination	consumers	evidence	reason
advanced-elicitation.md	rewrite	.claude/mosk/tasks/advanced-elicitation.md	.claude/mosk/tasks/create-doc.md	pending	Manter apenas como aprofundamento explícito e opcional.
analyze.md	keep		.claude/agents/mosk-po.md	not_applicable	Revisão cruzada curta e opcional com função distinta.
apply-qa-fixes.md	rewrite	.claude/mosk/tasks/apply-qa-fixes.md	.claude/agents/mosk-dev.md|.claude/agents/mosk-qa.md	pending	Compactar correção por finding e eliminar contrato duplicado.
archive.md	keep		.claude/agents/mosk-dev.md	not_applicable	Gate determinístico e promoção são capacidade única.
artefact.md	keep		.claude/agents/mosk-po.md	not_applicable	Adendo escopado à spec ativa já usa fluxo moderno.
assess-nfr.md	rewrite	.claude/mosk/tasks/assess-nfr.md	.claude/agents/mosk-qa.md	pending	Consumir evidência comum e remover exemplos extensos.
assess-risk.md	rewrite	.claude/mosk/tasks/assess-risk.md	.claude/agents/mosk-qa.md	pending	Substituir relatório prescritivo por matriz adaptativa.
assess-security.md	keep		.claude/agents/mosk-security.md	not_applicable	Auditoria ampla continua separada da revisão de diff.
audit-docs-paths.md	keep		.claude/agents/mosk-dev.md	not_applicable	Wrapper direto para validação documental existente.
bench-mode.md	rewrite	.claude/mosk/tasks/bench-mode.md	.claude/agents/mosk-bench.md	pending	Reduzir duplicação sem alterar a capacidade pública do Bench.
boot.md	keep		.claude/skills/mosk-boot/SKILL.md	not_applicable	Bootstrap e migração de regras são contratos críticos.
checklist.md	keep		.claude/agents/mosk-po.md	not_applicable	Suporte opcional curto e já roteado.
clarify.md	keep		.claude/agents/mosk-po.md	not_applicable	Clarificação agrupada opcional já tem limite explícito.
correct-course.md	rewrite	.claude/mosk/tasks/correct-course.md	.claude/agents/mosk-sm.md	pending	Remover escolha cerimonial de modo e diagnosticar diretamente.
create-brief.md	keep		.claude/agents/mosk-analyst.md	not_applicable	Wrapper de capacidade distinto que pode usar criação direta.
create-competitor-analysis.md	keep		.claude/agents/mosk-analyst.md	not_applicable	Wrapper de análise competitiva continua público.
